"dayInYear","date","dayOfWeek","month","quarter"
1,2017-01-01,"domingo","enero","Q1"
2,2017-01-02,"lunes","enero","Q1"
3,2017-01-03,"martes","enero","Q1"
4,2017-01-04,"miércoles","enero","Q1"
5,2017-01-05,"jueves","enero","Q1"
6,2017-01-06,"viernes","enero","Q1"
7,2017-01-07,"sábado","enero","Q1"
8,2017-01-08,"domingo","enero","Q1"
9,2017-01-09,"lunes","enero","Q1"
10,2017-01-10,"martes","enero","Q1"
11,2017-01-11,"miércoles","enero","Q1"
12,2017-01-12,"jueves","enero","Q1"
13,2017-01-13,"viernes","enero","Q1"
14,2017-01-14,"sábado","enero","Q1"
15,2017-01-15,"domingo","enero","Q1"
16,2017-01-16,"lunes","enero","Q1"
17,2017-01-17,"martes","enero","Q1"
18,2017-01-18,"miércoles","enero","Q1"
19,2017-01-19,"jueves","enero","Q1"
20,2017-01-20,"viernes","enero","Q1"
21,2017-01-21,"sábado","enero","Q1"
22,2017-01-22,"domingo","enero","Q1"
23,2017-01-23,"lunes","enero","Q1"
24,2017-01-24,"martes","enero","Q1"
25,2017-01-25,"miércoles","enero","Q1"
26,2017-01-26,"jueves","enero","Q1"
27,2017-01-27,"viernes","enero","Q1"
28,2017-01-28,"sábado","enero","Q1"
29,2017-01-29,"domingo","enero","Q1"
30,2017-01-30,"lunes","enero","Q1"
31,2017-01-31,"martes","enero","Q1"
32,2017-02-01,"miércoles","febrero","Q1"
33,2017-02-02,"jueves","febrero","Q1"
34,2017-02-03,"viernes","febrero","Q1"
35,2017-02-04,"sábado","febrero","Q1"
36,2017-02-05,"domingo","febrero","Q1"
37,2017-02-06,"lunes","febrero","Q1"
38,2017-02-07,"martes","febrero","Q1"
39,2017-02-08,"miércoles","febrero","Q1"
40,2017-02-09,"jueves","febrero","Q1"
41,2017-02-10,"viernes","febrero","Q1"
42,2017-02-11,"sábado","febrero","Q1"
43,2017-02-12,"domingo","febrero","Q1"
44,2017-02-13,"lunes","febrero","Q1"
45,2017-02-14,"martes","febrero","Q1"
46,2017-02-15,"miércoles","febrero","Q1"
47,2017-02-16,"jueves","febrero","Q1"
48,2017-02-17,"viernes","febrero","Q1"
49,2017-02-18,"sábado","febrero","Q1"
50,2017-02-19,"domingo","febrero","Q1"
51,2017-02-20,"lunes","febrero","Q1"
52,2017-02-21,"martes","febrero","Q1"
53,2017-02-22,"miércoles","febrero","Q1"
54,2017-02-23,"jueves","febrero","Q1"
55,2017-02-24,"viernes","febrero","Q1"
56,2017-02-25,"sábado","febrero","Q1"
57,2017-02-26,"domingo","febrero","Q1"
58,2017-02-27,"lunes","febrero","Q1"
59,2017-02-28,"martes","febrero","Q1"
60,2017-03-01,"miércoles","marzo","Q1"
61,2017-03-02,"jueves","marzo","Q1"
62,2017-03-03,"viernes","marzo","Q1"
63,2017-03-04,"sábado","marzo","Q1"
64,2017-03-05,"domingo","marzo","Q1"
65,2017-03-06,"lunes","marzo","Q1"
66,2017-03-07,"martes","marzo","Q1"
67,2017-03-08,"miércoles","marzo","Q1"
68,2017-03-09,"jueves","marzo","Q1"
69,2017-03-10,"viernes","marzo","Q1"
70,2017-03-11,"sábado","marzo","Q1"
71,2017-03-12,"domingo","marzo","Q1"
72,2017-03-13,"lunes","marzo","Q1"
73,2017-03-14,"martes","marzo","Q1"
74,2017-03-15,"miércoles","marzo","Q1"
75,2017-03-16,"jueves","marzo","Q1"
76,2017-03-17,"viernes","marzo","Q1"
